According to the Luck and Probability department it’s statistically a bad luck to wish people a good luck during the crisis.,,,,,,,,,-AW2
Back to the Stage,,,,,,,,,-ISAT
(You're here because there's nothing else for you to do. ),,,,,,,,,-ISAT
I'm being bullied by a preteen? Please advise?,,,,,,,,,-ISAT
"I HAVE SEEN IT ALL. PITIFUL TRAVELER, WALKING THROUGH TIME…GOING AGAINST THE VERY NATURE OF THIS WORLD.",,,,,,,,,-ISAT
The universe leads. We can only follow.,,,,,,,,,-ISAT
"(Soon, you'll close your eyes, and open them, and everyone's waking up.)",,,,,,,,,-ISAT
(You remember. You haven't forgotten them. They're still here. Traveling together with you. You're still here.),,,,,,,,,-ISAT
(You gasp loudly.),,,,,,,,,-ISAT
I'm just too precious to touch!,,,,,,,,,-ISAT
(The end is inevitable. You play along.),,,,,,,,,-ISAT
There's loads of time I wouldn't have been able to progress without you knowing about stuff.,,,,,,,,,-ISAT
(Felt like the end.),,,,,,,,,-ISAT
HEY GUYS WHAT'S THAT OVER THERE,,,,,,,,,-ISAT
(Oh stars!),,,,,,,,,-ISAT
(The Universe seems to hold its breath.),,,,,,,,,-ISAT
"Maybe it WAS that easy, all this time!!!",,,,,,,,,-ISAT
"(Sleeping, in the middle of a play?)",,,,,,,,,-ISAT
(Are you here?),,,,,,,,,-ISAT
(Neither of you ever asked what the other was looking for.),,,,,,,,,-ISAT
"Time for that talk then, huh?",,,,,,,,,-ISAT
"They told me to say thank you, for bringing them to me.",,,,,,,,,-ISAT
(Wink.),,,,,,,,,-ISAT
(Oh crab indeed.),,,,,,,,,-ISAT
"Without you, I would've given up, too.",,,,,,,,,-ISAT
(Vaugarde is so weird.),,,,,,,,,-ISAT
(You've slept too long already.),,,,,,,,,-ISAT
(No gods here! Come back later!),,,,,,,,,-ISAT
I'll tell you tomorrow.,,,,,,,,,-ISAT
You ever try closing your ears?,,,,,,,,,-ISAT
Maybe it was in the script.,,,,,,,,,-ISAT
We like to think about every possible thing that could happen...,,,,,,,,,-ISAT
You like looking inside barrels.,,,,,,,,,-ISAT
(Very smart. But you're smarter.),,,,,,,,,-ISAT
(You laugh a little too loudly.),,,,,,,,,-ISAT
So you believe it's possible?,,,,,,,,,-ISAT
"(In this moment, you were loved.)",,,,,,,,,-ISAT
(You only live once! Touch it!),,,,,,,,,-ISAT
(You've heard this one before.),,,,,,,,,-ISAT
"I'm just clumsy, teehee.",,,,,,,,,-ISAT
